ID;Modelo;Marca;Categoría;link_categoria
SUP-001;Essentials Oversized Tee;Fear of God;Superior;https://canadacentral1-mediap.svc.ms/transform/thumbnail?provider=spo&farmid=194290&inputFormat=png&cs=fFNQTw&docid=https%3A%2F%2Fmy.microsoftpersonalcontent.com%2F_api%2Fv2.0%2Fdrives%2Fb!CMRcwGWsDkWJzLiFNsuYihyyz_f32R5PryhfG0_9Gffs4tkeqsU0R63I5NTMCkmF%2Fitems%2F01EKSQVMA7XHDLB5RXXZCJZANEAR45M5UL%3Ftempauth%3Dv1e.eyJzaXRlaWQiOiJjMDVjYzQwOC1hYzY1LTQ1MGUtODljYy1iODg1MzZjYjk4OGEiLCJhdWQiOiIwMDAwMDAwMy0wMDAwLTBmZjEtY2UwMC0wMDAwMDAwMDAwMDAvbXkubWljcm9zb2Z0cGVyc29uYWxjb250ZW50LmNvbUA5MTg4MDQwZC02YzY3LTRjNWItYjExMi0zNmEzMDRiNjZkYWQiLCJleHAiOiIxNzUyNDUxMjAwIn0.LkJGgNa37e2brC-6FhB2MbvIL4X1T95oIaVwQhB0nzgG7kC7xfxfCbXtwSmMp4OzuOKJ21PdhppXrNPm6fspk-x-v1CaP5v0qVx4FBa9YcC_RlNFex_PnieZ63K_y-uK3f7tIH8n0aA_zDaU9CwZsyVwsw_pdtZ9kd0IZDU9hsy6jABwvwtugWwmrUq4ethy_wPSiD7-b6SlfsmOdkWFROKoBrb8y_12wvDSz4tytDKNu4ZNEWgusTpzgOeB5NlbW-wYNRDzqtbPFa5M9rFBCw727ujG0wBP3HGNMLkYoRXeKJhuJtb2Id6IfBreDzc9cVd6jdYE6QPRC8fBA0QUbwZ_j7KeM6Hq_0Kq19pHRSfXTD7NodItlop4MbCqzEFp2lqIdVQNkYh0gijhL2LtfQ-4ilxXPAziCNQmwjAM8-8yj9rbnxz_cAREhffGP3_4GZ0-xYZscEuSWJM7uS4RNzgS-vCdTSyeH8JgcjDL9McMnnXvmGnUsYvUXtw-o3ll.Niy35cGzme3RWlMMI8mgA05f71LuUWUbv5ISRdap-9k%26version%3DPublished&width=800&height=800&cb=63887942005
SUP-002;Skateboarding Logo Hoodie;Supreme;Superior;https://canadacentral1-mediap.svc.ms/transform/thumbnail?provider=spo&farmid=194290&inputFormat=png&cs=fFNQTw&docid=https%3A%2F%2Fmy.microsoftpersonalcontent.com%2F_api%2Fv2.0%2Fdrives%2Fb!CMRcwGWsDkWJzLiFNsuYihyyz_f32R5PryhfG0_9Gffs4tkeqsU0R63I5NTMCkmF%2Fitems%2F01EKSQVMA7XHDLB5RXXZCJZANEAR45M5UL%3Ftempauth%3Dv1e.eyJzaXRlaWQiOiJjMDVjYzQwOC1hYzY1LTQ1MGUtODljYy1iODg1MzZjYjk4OGEiLCJhdWQiOiIwMDAwMDAwMy0wMDAwLTBmZjEtY2UwMC0wMDAwMDAwMDAwMDAvbXkubWljcm9zb2Z0cGVyc29uYWxjb250ZW50LmNvbUA5MTg4MDQwZC02YzY3LTRjNWItYjExMi0zNmEzMDRiNjZkYWQiLCJleHAiOiIxNzUyNDUxMjAwIn0.LkJGgNa37e2brC-6FhB2MbvIL4X1T95oIaVwQhB0nzgG7kC7xfxfCbXtwSmMp4OzuOKJ21PdhppXrNPm6fspk-x-v1CaP5v0qVx4FBa9YcC_RlNFex_PnieZ63K_y-uK3f7tIH8n0aA_zDaU9CwZsyVwsw_pdtZ9kd0IZDU9hsy6jABwvwtugWwmrUq4ethy_wPSiD7-b6SlfsmOdkWFROKoBrb8y_12wvDSz4tytDKNu4ZNEWgusTpzgOeB5NlbW-wYNRDzqtbPFa5M9rFBCw727ujG0wBP3HGNMLkYoRXeKJhuJtb2Id6IfBreDzc9cVd6jdYE6QPRC8fBA0QUbwZ_j7KeM6Hq_0Kq19pHRSfXTD7NodItlop4MbCqzEFp2lqIdVQNkYh0gijhL2LtfQ-4ilxXPAziCNQmwjAM8-8yj9rbnxz_cAREhffGP3_4GZ0-xYZscEuSWJM7uS4RNzgS-vCdTSyeH8JgcjDL9McMnnXvmGnUsYvUXtw-o3ll.Niy35cGzme3RWlMMI8mgA05f71LuUWUbv5ISRdap-9k%26version%3DPublished&width=800&height=800&cb=63887942005
SUP-003;Graphic Crewneck Astro Drift;HUF;Superior;https://canadacentral1-mediap.svc.ms/transform/thumbnail?provider=spo&farmid=194290&inputFormat=png&cs=fFNQTw&docid=https%3A%2F%2Fmy.microsoftpersonalcontent.com%2F_api%2Fv2.0%2Fdrives%2Fb!CMRcwGWsDkWJzLiFNsuYihyyz_f32R5PryhfG0_9Gffs4tkeqsU0R63I5NTMCkmF%2Fitems%2F01EKSQVMA7XHDLB5RXXZCJZANEAR45M5UL%3Ftempauth%3Dv1e.eyJzaXRlaWQiOiJjMDVjYzQwOC1hYzY1LTQ1MGUtODljYy1iODg1MzZjYjk4OGEiLCJhdWQiOiIwMDAwMDAwMy0wMDAwLTBmZjEtY2UwMC0wMDAwMDAwMDAwMDAvbXkubWljcm9zb2Z0cGVyc29uYWxjb250ZW50LmNvbUA5MTg4MDQwZC02YzY3LTRjNWItYjExMi0zNmEzMDRiNjZkYWQiLCJleHAiOiIxNzUyNDUxMjAwIn0.LkJGgNa37e2brC-6FhB2MbvIL4X1T95oIaVwQhB0nzgG7kC7xfxfCbXtwSmMp4OzuOKJ21PdhppXrNPm6fspk-x-v1CaP5v0qVx4FBa9YcC_RlNFex_PnieZ63K_y-uK3f7tIH8n0aA_zDaU9CwZsyVwsw_pdtZ9kd0IZDU9hsy6jABwvwtugWwmrUq4ethy_wPSiD7-b6SlfsmOdkWFROKoBrb8y_12wvDSz4tytDKNu4ZNEWgusTpzgOeB5NlbW-wYNRDzqtbPFa5M9rFBCw727ujG0wBP3HGNMLkYoRXeKJhuJtb2Id6IfBreDzc9cVd6jdYE6QPRC8fBA0QUbwZ_j7KeM6Hq_0Kq19pHRSfXTD7NodItlop4MbCqzEFp2lqIdVQNkYh0gijhL2LtfQ-4ilxXPAziCNQmwjAM8-8yj9rbnxz_cAREhffGP3_4GZ0-xYZscEuSWJM7uS4RNzgS-vCdTSyeH8JgcjDL9McMnnXvmGnUsYvUXtw-o3ll.Niy35cGzme3RWlMMI8mgA05f71LuUWUbv5ISRdap-9k%26version%3DPublished&width=800&height=800&cb=63887942005
SUP-004;Classic Polo Black;Lacoste;Superior;https://canadacentral1-mediap.svc.ms/transform/thumbnail?provider=spo&farmid=194290&inputFormat=png&cs=fFNQTw&docid=https%3A%2F%2Fmy.microsoftpersonalcontent.com%2F_api%2Fv2.0%2Fdrives%2Fb!CMRcwGWsDkWJzLiFNsuYihyyz_f32R5PryhfG0_9Gffs4tkeqsU0R63I5NTMCkmF%2Fitems%2F01EKSQVMA7XHDLB5RXXZCJZANEAR45M5UL%3Ftempauth%3Dv1e.eyJzaXRlaWQiOiJjMDVjYzQwOC1hYzY1LTQ1MGUtODljYy1iODg1MzZjYjk4OGEiLCJhdWQiOiIwMDAwMDAwMy0wMDAwLTBmZjEtY2UwMC0wMDAwMDAwMDAwMDAvbXkubWljcm9zb2Z0cGVyc29uYWxjb250ZW50LmNvbUA5MTg4MDQwZC02YzY3LTRjNWItYjExMi0zNmEzMDRiNjZkYWQiLCJleHAiOiIxNzUyNDUxMjAwIn0.LkJGgNa37e2brC-6FhB2MbvIL4X1T95oIaVwQhB0nzgG7kC7xfxfCbXtwSmMp4OzuOKJ21PdhppXrNPm6fspk-x-v1CaP5v0qVx4FBa9YcC_RlNFex_PnieZ63K_y-uK3f7tIH8n0aA_zDaU9CwZsyVwsw_pdtZ9kd0IZDU9hsy6jABwvwtugWwmrUq4ethy_wPSiD7-b6SlfsmOdkWFROKoBrb8y_12wvDSz4tytDKNu4ZNEWgusTpzgOeB5NlbW-wYNRDzqtbPFa5M9rFBCw727ujG0wBP3HGNMLkYoRXeKJhuJtb2Id6IfBreDzc9cVd6jdYE6QPRC8fBA0QUbwZ_j7KeM6Hq_0Kq19pHRSfXTD7NodItlop4MbCqzEFp2lqIdVQNkYh0gijhL2LtfQ-4ilxXPAziCNQmwjAM8-8yj9rbnxz_cAREhffGP3_4GZ0-xYZscEuSWJM7uS4RNzgS-vCdTSyeH8JgcjDL9McMnnXvmGnUsYvUXtw-o3ll.Niy35cGzme3RWlMMI8mgA05f71LuUWUbv5ISRdap-9k%26version%3DPublished&width=800&height=800&cb=63887942005
SUP-005;Denim Jacket Vintage Wash;Levi’s;Superior;https://canadacentral1-mediap.svc.ms/transform/thumbnail?provider=spo&farmid=194290&inputFormat=png&cs=fFNQTw&docid=https%3A%2F%2Fmy.microsoftpersonalcontent.com%2F_api%2Fv2.0%2Fdrives%2Fb!CMRcwGWsDkWJzLiFNsuYihyyz_f32R5PryhfG0_9Gffs4tkeqsU0R63I5NTMCkmF%2Fitems%2F01EKSQVMA7XHDLB5RXXZCJZANEAR45M5UL%3Ftempauth%3Dv1e.eyJzaXRlaWQiOiJjMDVjYzQwOC1hYzY1LTQ1MGUtODljYy1iODg1MzZjYjk4OGEiLCJhdWQiOiIwMDAwMDAwMy0wMDAwLTBmZjEtY2UwMC0wMDAwMDAwMDAwMDAvbXkubWljcm9zb2Z0cGVyc29uYWxjb250ZW50LmNvbUA5MTg4MDQwZC02YzY3LTRjNWItYjExMi0zNmEzMDRiNjZkYWQiLCJleHAiOiIxNzUyNDUxMjAwIn0.LkJGgNa37e2brC-6FhB2MbvIL4X1T95oIaVwQhB0nzgG7kC7xfxfCbXtwSmMp4OzuOKJ21PdhppXrNPm6fspk-x-v1CaP5v0qVx4FBa9YcC_RlNFex_PnieZ63K_y-uK3f7tIH8n0aA_zDaU9CwZsyVwsw_pdtZ9kd0IZDU9hsy6jABwvwtugWwmrUq4ethy_wPSiD7-b6SlfsmOdkWFROKoBrb8y_12wvDSz4tytDKNu4ZNEWgusTpzgOeB5NlbW-wYNRDzqtbPFa5M9rFBCw727ujG0wBP3HGNMLkYoRXeKJhuJtb2Id6IfBreDzc9cVd6jdYE6QPRC8fBA0QUbwZ_j7KeM6Hq_0Kq19pHRSfXTD7NodItlop4MbCqzEFp2lqIdVQNkYh0gijhL2LtfQ-4ilxXPAziCNQmwjAM8-8yj9rbnxz_cAREhffGP3_4GZ0-xYZscEuSWJM7uS4RNzgS-vCdTSyeH8JgcjDL9McMnnXvmGnUsYvUXtw-o3ll.Niy35cGzme3RWlMMI8mgA05f71LuUWUbv5ISRdap-9k%26version%3DPublished&width=800&height=800&cb=63887942005
INF-006;Cargo Pants Tactical Fit;Nike ACG;Inferior;https://canadacentral1-mediap.svc.ms/transform/thumbnail?provider=spo&farmid=194290&inputFormat=png&cs=fFNQTw&docid=https%3A%2F%2Fmy.microsoftpersonalcontent.com%2F_api%2Fv2.0%2Fdrives%2Fb!CMRcwGWsDkWJzLiFNsuYihyyz_f32R5PryhfG0_9Gffs4tkeqsU0R63I5NTMCkmF%2Fitems%2F01EKSQVMCCOWQA67D6ZVBJU3IVJ4N34HD2%3Ftempauth%3Dv1e.eyJzaXRlaWQiOiJjMDVjYzQwOC1hYzY1LTQ1MGUtODljYy1iODg1MzZjYjk4OGEiLCJhdWQiOiIwMDAwMDAwMy0wMDAwLTBmZjEtY2UwMC0wMDAwMDAwMDAwMDAvbXkubWljcm9zb2Z0cGVyc29uYWxjb250ZW50LmNvbUA5MTg4MDQwZC02YzY3LTRjNWItYjExMi0zNmEzMDRiNjZkYWQiLCJleHAiOiIxNzUyNDUxMjAwIn0.lEr3oP6z-wvGeLrNuwNucBGg3EZpDuEYdm9bTd-ch9KKgrkvvlTqoBkFmUeZEYh8hcAO6Wp6wNHU7geIx0LpdnfYXEqDDewFWss3BKSD7TLmhu_rs5rOJnfKJIkvqZHC2_doVmPc4yU60n3kAN8W-v5wlz7S_PhgDQyFbMS1PXAe1uijNg15dpbEsD8wBcQo0m8NXyGgakmRYoBcwixmtKBTHhrWAz89qKqCEGUn_4wTaHL5hGiypks6wr_I9meO93OJeCdbRF1IBiT9TuZzIuZr7hwZX4dAnrTLyje8b5RVHankQbphcuuENSgj2-_fdnT2qhGe-j_uGtfSdIWxbyekcHp71QNd_du8GOxmUnuIuE_UatDAYywpj0mxDHlKSh10SrGR277OqerF4n1uGmq80ofP29EpMsENNOcRBdRz_eqnb8CkuwCysENZnIqVzzD6seZja5bOV0Im91wAEpKj05qvVaS-M8IjABbAvJ7SqL8YoDb9L4z0Ql5tzUKh.0NnymkWtcMLzMoytpTl0TtsVv_YGnqWTZZQktrAolF4%26version%3DPublished&width=800&height=800&cb=63887942043
INF-007;Ripped Skinny Jeans No Mercy;Represent;Inferior;https://canadacentral1-mediap.svc.ms/transform/thumbnail?provider=spo&farmid=194290&inputFormat=png&cs=fFNQTw&docid=https%3A%2F%2Fmy.microsoftpersonalcontent.com%2F_api%2Fv2.0%2Fdrives%2Fb!CMRcwGWsDkWJzLiFNsuYihyyz_f32R5PryhfG0_9Gffs4tkeqsU0R63I5NTMCkmF%2Fitems%2F01EKSQVMCCOWQA67D6ZVBJU3IVJ4N34HD2%3Ftempauth%3Dv1e.eyJzaXRlaWQiOiJjMDVjYzQwOC1hYzY1LTQ1MGUtODljYy1iODg1MzZjYjk4OGEiLCJhdWQiOiIwMDAwMDAwMy0wMDAwLTBmZjEtY2UwMC0wMDAwMDAwMDAwMDAvbXkubWljcm9zb2Z0cGVyc29uYWxjb250ZW50LmNvbUA5MTg4MDQwZC02YzY3LTRjNWItYjExMi0zNmEzMDRiNjZkYWQiLCJleHAiOiIxNzUyNDUxMjAwIn0.lEr3oP6z-wvGeLrNuwNucBGg3EZpDuEYdm9bTd-ch9KKgrkvvlTqoBkFmUeZEYh8hcAO6Wp6wNHU7geIx0LpdnfYXEqDDewFWss3BKSD7TLmhu_rs5rOJnfKJIkvqZHC2_doVmPc4yU60n3kAN8W-v5wlz7S_PhgDQyFbMS1PXAe1uijNg15dpbEsD8wBcQo0m8NXyGgakmRYoBcwixmtKBTHhrWAz89qKqCEGUn_4wTaHL5hGiypks6wr_I9meO93OJeCdbRF1IBiT9TuZzIuZr7hwZX4dAnrTLyje8b5RVHankQbphcuuENSgj2-_fdnT2qhGe-j_uGtfSdIWxbyekcHp71QNd_du8GOxmUnuIuE_UatDAYywpj0mxDHlKSh10SrGR277OqerF4n1uGmq80ofP29EpMsENNOcRBdRz_eqnb8CkuwCysENZnIqVzzD6seZja5bOV0Im91wAEpKj05qvVaS-M8IjABbAvJ7SqL8YoDb9L4z0Ql5tzUKh.0NnymkWtcMLzMoytpTl0TtsVv_YGnqWTZZQktrAolF4%26version%3DPublished&width=800&height=800&cb=63887942043
INF-008;Sweatpants Classic Grey;Champion;Inferior;https://canadacentral1-mediap.svc.ms/transform/thumbnail?provider=spo&farmid=194290&inputFormat=png&cs=fFNQTw&docid=https%3A%2F%2Fmy.microsoftpersonalcontent.com%2F_api%2Fv2.0%2Fdrives%2Fb!CMRcwGWsDkWJzLiFNsuYihyyz_f32R5PryhfG0_9Gffs4tkeqsU0R63I5NTMCkmF%2Fitems%2F01EKSQVMCCOWQA67D6ZVBJU3IVJ4N34HD2%3Ftempauth%3Dv1e.eyJzaXRlaWQiOiJjMDVjYzQwOC1hYzY1LTQ1MGUtODljYy1iODg1MzZjYjk4OGEiLCJhdWQiOiIwMDAwMDAwMy0wMDAwLTBmZjEtY2UwMC0wMDAwMDAwMDAwMDAvbXkubWljcm9zb2Z0cGVyc29uYWxjb250ZW50LmNvbUA5MTg4MDQwZC02YzY3LTRjNWItYjExMi0zNmEzMDRiNjZkYWQiLCJleHAiOiIxNzUyNDUxMjAwIn0.lEr3oP6z-wvGeLrNuwNucBGg3EZpDuEYdm9bTd-ch9KKgrkvvlTqoBkFmUeZEYh8hcAO6Wp6wNHU7geIx0LpdnfYXEqDDewFWss3BKSD7TLmhu_rs5rOJnfKJIkvqZHC2_doVmPc4yU60n3kAN8W-v5wlz7S_PhgDQyFbMS1PXAe1uijNg15dpbEsD8wBcQo0m8NXyGgakmRYoBcwixmtKBTHhrWAz89qKqCEGUn_4wTaHL5hGiypks6wr_I9meO93OJeCdbRF1IBiT9TuZzIuZr7hwZX4dAnrTLyje8b5RVHankQbphcuuENSgj2-_fdnT2qhGe-j_uGtfSdIWxbyekcHp71QNd_du8GOxmUnuIuE_UatDAYywpj0mxDHlKSh10SrGR277OqerF4n1uGmq80ofP29EpMsENNOcRBdRz_eqnb8CkuwCysENZnIqVzzD6seZja5bOV0Im91wAEpKj05qvVaS-M8IjABbAvJ7SqL8YoDb9L4z0Ql5tzUKh.0NnymkWtcMLzMoytpTl0TtsVv_YGnqWTZZQktrAolF4%26version%3DPublished&width=800&height=800&cb=63887942043
INF-009;Track Pants Streets;Adidas Originals;Inferior;https://canadacentral1-mediap.svc.ms/transform/thumbnail?provider=spo&farmid=194290&inputFormat=png&cs=fFNQTw&docid=https%3A%2F%2Fmy.microsoftpersonalcontent.com%2F_api%2Fv2.0%2Fdrives%2Fb!CMRcwGWsDkWJzLiFNsuYihyyz_f32R5PryhfG0_9Gffs4tkeqsU0R63I5NTMCkmF%2Fitems%2F01EKSQVMCCOWQA67D6ZVBJU3IVJ4N34HD2%3Ftempauth%3Dv1e.eyJzaXRlaWQiOiJjMDVjYzQwOC1hYzY1LTQ1MGUtODljYy1iODg1MzZjYjk4OGEiLCJhdWQiOiIwMDAwMDAwMy0wMDAwLTBmZjEtY2UwMC0wMDAwMDAwMDAwMDAvbXkubWljcm9zb2Z0cGVyc29uYWxjb250ZW50LmNvbUA5MTg4MDQwZC02YzY3LTRjNWItYjExMi0zNmEzMDRiNjZkYWQiLCJleHAiOiIxNzUyNDUxMjAwIn0.lEr3oP6z-wvGeLrNuwNucBGg3EZpDuEYdm9bTd-ch9KKgrkvvlTqoBkFmUeZEYh8hcAO6Wp6wNHU7geIx0LpdnfYXEqDDewFWss3BKSD7TLmhu_rs5rOJnfKJIkvqZHC2_doVmPc4yU60n3kAN8W-v5wlz7S_PhgDQyFbMS1PXAe1uijNg15dpbEsD8wBcQo0m8NXyGgakmRYoBcwixmtKBTHhrWAz89qKqCEGUn_4wTaHL5hGiypks6wr_I9meO93OJeCdbRF1IBiT9TuZzIuZr7hwZX4dAnrTLyje8b5RVHankQbphcuuENSgj2-_fdnT2qhGe-j_uGtfSdIWxbyekcHp71QNd_du8GOxmUnuIuE_UatDAYywpj0mxDHlKSh10SrGR277OqerF4n1uGmq80ofP29EpMsENNOcRBdRz_eqnb8CkuwCysENZnIqVzzD6seZja5bOV0Im91wAEpKj05qvVaS-M8IjABbAvJ7SqL8YoDb9L4z0Ql5tzUKh.0NnymkWtcMLzMoytpTl0TtsVv_YGnqWTZZQktrAolF4%26version%3DPublished&width=800&height=800&cb=63887942043
INF-010;Biker Shorts Urban Black;Puma;Inferior;https://canadacentral1-mediap.svc.ms/transform/thumbnail?provider=spo&farmid=194290&inputFormat=png&cs=fFNQTw&docid=https%3A%2F%2Fmy.microsoftpersonalcontent.com%2F_api%2Fv2.0%2Fdrives%2Fb!CMRcwGWsDkWJzLiFNsuYihyyz_f32R5PryhfG0_9Gffs4tkeqsU0R63I5NTMCkmF%2Fitems%2F01EKSQVMCCOWQA67D6ZVBJU3IVJ4N34HD2%3Ftempauth%3Dv1e.eyJzaXRlaWQiOiJjMDVjYzQwOC1hYzY1LTQ1MGUtODljYy1iODg1MzZjYjk4OGEiLCJhdWQiOiIwMDAwMDAwMy0wMDAwLTBmZjEtY2UwMC0wMDAwMDAwMDAwMDAvbXkubWljcm9zb2Z0cGVyc29uYWxjb250ZW50LmNvbUA5MTg4MDQwZC02YzY3LTRjNWItYjExMi0zNmEzMDRiNjZkYWQiLCJleHAiOiIxNzUyNDUxMjAwIn0.lEr3oP6z-wvGeLrNuwNucBGg3EZpDuEYdm9bTd-ch9KKgrkvvlTqoBkFmUeZEYh8hcAO6Wp6wNHU7geIx0LpdnfYXEqDDewFWss3BKSD7TLmhu_rs5rOJnfKJIkvqZHC2_doVmPc4yU60n3kAN8W-v5wlz7S_PhgDQyFbMS1PXAe1uijNg15dpbEsD8wBcQo0m8NXyGgakmRYoBcwixmtKBTHhrWAz89qKqCEGUn_4wTaHL5hGiypks6wr_I9meO93OJeCdbRF1IBiT9TuZzIuZr7hwZX4dAnrTLyje8b5RVHankQbphcuuENSgj2-_fdnT2qhGe-j_uGtfSdIWxbyekcHp71QNd_du8GOxmUnuIuE_UatDAYywpj0mxDHlKSh10SrGR277OqerF4n1uGmq80ofP29EpMsENNOcRBdRz_eqnb8CkuwCysENZnIqVzzD6seZja5bOV0Im91wAEpKj05qvVaS-M8IjABbAvJ7SqL8YoDb9L4z0Ql5tzUKh.0NnymkWtcMLzMoytpTl0TtsVv_YGnqWTZZQktrAolF4%26version%3DPublished&width=800&height=800&cb=63887942043
