fecha_venta,id_producto,modelo,categoría,canal_venta,cliente,unidades,precio_unitario,monto_total
2024-01-01,INF-006,Cargo Pants Tactical Fit,Inferior,TikTok Shop,Cliente_107,2,37384,74768
2024-01-01,CAL-011,Air Force 1 ‘07 Triple White,Calzado,Tienda Física,Cliente_67,4,33964,135856
2024-01-01,CAL-011,Air Force 1 ‘07 Triple White,Calzado,Instagram,Cliente_31,5,25009,125045
2024-01-01,ACC-018,Gafas de sol “Neo Matrix”,Accesorios,Tienda Física,Cliente_122,1,39483,39483
2024-01-01,CAL-014,Chuck 70 Hi Canvas Natural,Calzado,Instagram,Cliente_137,5,25909,129545
2024-01-01,SUP-004,Classic Polo Black,Superior,Instagram,Cliente_186,5,22617,113085
2024-01-01,SUP-002,Skateboarding Logo Hoodie,Superior,Tienda Física,Cliente_67,1,25117,25117
2024-01-02,ACC-018,Gafas de sol “Neo Matrix”,Accesorios,TikTok Shop,Cliente_61,2,24229,48458
2024-01-02,INF-009,Track Pants “Streets”,Inferior,Tienda Física,Cliente_36,3,33694,101082
2024-01-02,CAL-013,Old Skool Black/White,Calzado,Tienda Física,Cliente_57,2,21174,42348
2024-01-02,SUP-002,Skateboarding Logo Hoodie,Superior,Tienda Física,Cliente_18,5,37906,189530
2024-01-02,INF-008,Sweatpants Classic Grey,Inferior,TikTok Shop,Cliente_184,1,37674,37674
2024-01-02,ACC-018,Gafas de sol “Neo Matrix”,Accesorios,Instagram,Cliente_57,5,36964,184820
2024-01-02,SUP-002,Skateboarding Logo Hoodie,Superior,Tienda Física,Cliente_200,3,25552,76656
2024-01-02,SUP-003,Graphic Crewneck “Astro Drift”,Superior,TikTok Shop,Cliente_94,5,16164,80820
2024-01-03,INF-010,Biker Shorts Urban Black,Inferior,Instagram,Cliente_77,1,44361,44361
2024-01-03,ACC-019,Cinturón de lona con hebilla,Accesorios,Tienda Física,Cliente_137,4,37820,151280
2024-01-03,ACC-017,Crossbody Bag Mini Messenger,Accesorios,Tienda Online,Cliente_123,1,21213,21213
2024-01-03,ACC-017,Crossbody Bag Mini Messenger,Accesorios,Tienda Física,Cliente_73,3,27506,82518
2024-01-03,ACC-016,Bucket Hat “Street Jungle”,Accesorios,TikTok Shop,Cliente_128,5,30345,151725
2024-01-03,SUP-003,Graphic Crewneck “Astro Drift”,Superior,TikTok Shop,Cliente_16,2,16933,33866
2024-01-04,CAL-011,Air Force 1 ‘07 Triple White,Calzado,TikTok Shop,Cliente_109,4,20679,82716
2024-01-05,INF-010,Biker Shorts Urban Black,Inferior,Tienda Física,Cliente_58,5,32666,163330
2024-01-05,SUP-005,Denim Jacket Vintage Wash,Superior,TikTok Shop,Cliente_136,4,29264,117056
2024-01-05,SUP-001,Essentials Oversized Tee,Superior,Tienda Online,Cliente_107,5,24477,122385
2024-01-05,SUP-004,Classic Polo Black,Superior,TikTok Shop,Cliente_51,5,16731,83655
2024-01-06,CAL-013,Old Skool Black/White,Calzado,Tienda Online,Cliente_151,5,41700,208500
2024-01-06,ACC-017,Crossbody Bag Mini Messenger,Accesorios,Tienda Física,Cliente_172,2,38817,77634
2024-01-06,SUP-001,Essentials Oversized Tee,Superior,Tienda Online,Cliente_98,2,27833,55666
2024-01-06,SUP-005,Denim Jacket Vintage Wash,Superior,Tienda Física,Cliente_81,5,18559,92795
2024-01-06,SUP-003,Graphic Crewneck “Astro Drift”,Superior,Instagram,Cliente_63,2,39837,79674
2024-01-06,CAL-012,Yeezy Boost 350 V2 Zebra,Calzado,Tienda Física,Cliente_7,5,42292,211460
2024-01-06,ACC-017,Crossbody Bag Mini Messenger,Accesorios,Instagram,Cliente_177,4,15289,61156
2024-01-07,CAL-013,Old Skool Black/White,Calzado,Instagram,Cliente_82,2,22063,44126
2024-01-07,INF-006,Cargo Pants Tactical Fit,Inferior,TikTok Shop,Cliente_172,5,31654,158270
2024-01-07,INF-008,Sweatpants Classic Grey,Inferior,TikTok Shop,Cliente_60,5,42152,210760
2024-01-07,ACC-017,Crossbody Bag Mini Messenger,Accesorios,TikTok Shop,Cliente_72,3,36924,110772
2024-01-07,INF-009,Track Pants “Streets”,Inferior,Instagram,Cliente_35,5,43408,217040
2024-01-07,INF-008,Sweatpants Classic Grey,Inferior,Instagram,Cliente_128,4,21183,84732
2024-01-07,INF-007,Ripped Skinny Jeans 'No Mercy',Inferior,TikTok Shop,Cliente_30,4,42179,168716
2024-01-08,SUP-002,Skateboarding Logo Hoodie,Superior,Tienda Física,Cliente_118,1,22874,22874
2024-01-08,CAL-014,Chuck 70 Hi Canvas Natural,Calzado,Instagram,Cliente_82,5,41046,205230
2024-01-08,INF-010,Biker Shorts Urban Black,Inferior,TikTok Shop,Cliente_150,3,21877,65631
2024-01-08,CAL-012,Yeezy Boost 350 V2 Zebra,Calzado,Instagram,Cliente_113,2,31834,63668
2024-01-09,CAL-011,Air Force 1 ‘07 Triple White,Calzado,Instagram,Cliente_100,2,17065,34130
2024-01-09,ACC-016,Bucket Hat “Street Jungle”,Accesorios,Tienda Física,Cliente_142,5,17308,86540
2024-01-09,CAL-013,Old Skool Black/White,Calzado,Instagram,Cliente_145,5,21523,107615
2024-01-10,SUP-001,Essentials Oversized Tee,Superior,Tienda Física,Cliente_112,5,37120,185600
2024-01-10,INF-007,Ripped Skinny Jeans 'No Mercy',Inferior,Tienda Online,Cliente_52,4,17596,70384
2024-01-11,SUP-003,Graphic Crewneck “Astro Drift”,Superior,Instagram,Cliente_66,4,35096,140384
2024-01-11,ACC-016,Bucket Hat “Street Jungle”,Accesorios,TikTok Shop,Cliente_35,1,38887,38887
2024-01-11,INF-010,Biker Shorts Urban Black,Inferior,Tienda Física,Cliente_147,5,44219,221095
2024-01-11,INF-010,Biker Shorts Urban Black,Inferior,Tienda Online,Cliente_178,4,38824,155296
2024-01-11,CAL-014,Chuck 70 Hi Canvas Natural,Calzado,Tienda Física,Cliente_121,4,27981,111924
2024-01-11,SUP-003,Graphic Crewneck “Astro Drift”,Superior,TikTok Shop,Cliente_119,4,33593,134372
2024-01-11,CAL-013,Old Skool Black/White,Calzado,Tienda Online,Cliente_52,3,29684,89052
2024-01-11,CAL-013,Old Skool Black/White,Calzado,Instagram,Cliente_148,2,36454,72908
2024-01-12,INF-007,Ripped Skinny Jeans 'No Mercy',Inferior,Tienda Online,Cliente_134,5,33307,166535
2024-01-12,INF-007,Ripped Skinny Jeans 'No Mercy',Inferior,TikTok Shop,Cliente_70,4,19052,76208
