id,Weight_kg,Height_m,Max_BPM,Avg_BPM,Resting_BPM,Session_Duration_hours,Calories_Burned,Fat_Percentage,Water_Intake_liters,Workout_Frequency_days_week,BMI
WUT-818,82.9,1.54,174,169,64,0.77,802,27.8,2.2,3,49.84
EHI-843,129.4,1.5,177,145,71,,772,22,1.7,5,18.07
PCX-201,112.4,1.71,177,165,55,1.56,1044,33.5,1.7,2,24.43
SIP-244,40,1.72,188,155,74,1.51,1266,26.4,2.5,2,17.79
IRZ-078,73.7,1.78,192,154,73,1.18,851,27.4,2.6,2,21.08
ZFG-292,84,1.71,194,148,52,0.92,621,28.3,3.4,3,17.99
XGQ-119,42.8,1.89,194,162,73,2,736,22.5,1.5,3,18.54
ZHQ-556,40,1.64,177,134,53,0.98,468,25.6,2.1,3,18.78
LPR-864,,1.8,197,165,56,0.74,1208,26.1,3.3,3,12.32
NCA-109,56.9,1.77,183,131,57,1.28,1052,20.7,3.5,4,18.57
XKV-496,67.5,1.69,177,169,72,1.07,975,26.2,1.6,4,14.08
FCG-941,69.8,1.82,178,168,58,1.9,963,31.4,3.7,5,34.21
VGD-834,79.2,1.77,198,137,66,1.2,1429,12.9,3.7,3,19.07
QKS-143,79.2,1.66,176,154,72,1.58,1493,18.1,2.3,3,14.27
IKM-004,73.8,1.75,187,149,74,1.64,1065,17.7,2.4,3,17.79
XOA-708,64.8,1.82,169,156,69,1.93,1516,21.9,3.5,3,17.69
GUH-070,46.9,1.84,185,147,65,1.29,1040,21.8,1.7,3,13
XKQ-804,90.8,1.66,182,134,56,1.77,990,10,1.8,4,22.03
MIA-105,56.1,2,180,120,57,1.04,1461,27.4,2,5,12.32
RSE-932,40,1.73,168,121,73,0.64,1153,29.9,3.1,2,18.62
KYR-071,40,1.85,175,144,51,2,1318,32.7,2,4,21.16
UWR-848,40,1.8,196,120,70,2,979,10,2.6,4,20.06
LKU-519,54.7,1.6,167,156,57,1.63,1134,22.7,3.4,4,15.86
HKF-408,97.5,2,169,159,68,1.17,782,24.8,1.8,2,42.88
EPC-421,50.6,1.89,189,130,66,,1278,28.5,3.7,4,27.87
MIU-834,94.7,1.52,161,141,66,1.4,1446,16.7,2.6,3,22.4
AID-254,42,1.74,197,120,57,2,1236,26.6,1.5,3,19.62
IAC-992,72.1,1.79,194,169,71,1.89,716,16.7,3.2,2,12.32
LRW-799,64.2,1.61,167,147,,1.17,1783,25.9,2.1,3,12.83
GSS-782,64,1.51,176,129,74,1.18,992,26.7,3.4,5,14.98
VFJ-003,84.1,1.78,194,145,64,2,686,30.3,3.3,3,14.46
YSE-562,61.3,1.6,191,135,67,1.09,609,13.7,1.6,2,14.7
HDU-860,66.6,1.62,192,156,58,1.3,1250,21.3,3.2,5,12.58
HHD-028,92,1.79,199,169,56,1.77,1105,14.4,,2,20.25
QXK-389,,1.76,176,167,58,1.21,912,28.4,3.6,2,25.72
FWV-910,96,1.82,198,144,58,1.19,323,23.8,1.8,3,12.32
TLI-479,61.1,1.74,191,159,69,1.36,1311,15.6,3.4,2,16.61
GOS-511,50.1,1.8,174,125,50,1.38,1185,30.8,3.4,3,29.04
GRU-523,86.1,2,180,158,72,1.27,1173,19.7,3.5,2,13.06
KOU-033,40,1.77,189,137,74,0.6,829,24.7,2.6,4,16.35
LAV-235,67.5,1.71,185,166,58,1.81,1162,10.6,3.5,3,37.91
YCT-250,44.8,1.81,164,,57,1.2,742,23.5,3.3,4,19.04
GTU-108,72.5,1.79,173,140,67,1.34,1629,27.3,2.7,5,19.58
YMT-506,49.8,1.96,199,162,74,1.64,996,,2.3,4,14.35
LCA-009,71.5,1.69,186,124,60,1.53,763,16.9,2.5,2,15.8
UGW-985,52,1.66,199,137,74,2,1314,26.7,3.3,3,20.41
FEX-013,50,1.83,163,140,64,1.41,969,19,1.9,3,14.29
ALM-832,43.5,1.77,161,136,57,2,452,24.4,3.3,5,21.96
CVX-642,54.6,1.66,189,142,64,1.19,523,34.7,2.6,2,18.88
HAK-983,69.9,1.78,160,143,74,2,930,19.6,2,3,12.32
RUG-688,40,1.72,195,137,52,2,1783,18.6,1.5,4,12.77
JAK-211,82.3,1.74,198,155,55,1.38,1368,26,3.3,2,17.15
UPZ-833,79.6,1.75,168,125,54,1.26,682,25.1,2.4,3,12.32
HJQ-058,74.6,1.88,177,166,53,2,1010,18,2.2,5,30.5
MTY-401,80.4,1.97,172,137,74,1.62,617,22.4,3.4,3,16.91
YUG-425,63.4,1.85,191,148,69,0.89,1106,21.4,2.3,5,15.64
AAY-511,43.1,1.75,183,138,53,1.95,437,19.1,3.6,2,18.14
AGU-013,92.1,1.59,171,150,54,1.17,968,21.8,2.4,5,25.66
DNN-771,43,1.95,163,164,68,2,1349,18.5,3.2,2,12.32
XBJ-555,101.2,1.59,198,122,58,1.08,,28.6,3.1,4,19.39
DLF-547,46.5,1.54,198,169,55,,1060,28.9,3.1,5,14.01
QTN-485,73,1.78,161,131,50,2,1319,26.1,1.5,5,12.32
KKM-902,71.9,1.54,177,120,73,1.17,817,16.8,2.6,3,29.64
LBU-229,81.9,1.79,178,160,60,1.24,1172,28.5,1.7,3,12.32
IFJ-298,67.7,1.69,192,123,57,1.44,1445,26.8,3.1,3,21.16
FWH-980,71.1,1.84,189,127,74,0.85,1303,15.2,2.8,2,30.36
QEY-086,47.3,1.75,196,169,56,1.32,706,29,1.9,2,30.5
ORZ-127,67.1,1.71,174,165,74,1.84,577,27.1,2.7,4,24.9
IXV-271,,1.72,169,136,66,2,945,22.8,3.3,4,26.19
TTR-484,73,1.89,172,153,56,1.19,596,15.6,3.4,5,17.22
NLU-461,40,1.68,178,147,71,2,831,17.3,3.5,4,24.89
TXJ-225,58.4,1.87,167,168,74,1.42,1306,26.9,3.2,2,17.66
HMX-478,40,1.56,196,149,56,0.79,1027,27.6,1.9,2,12.98
YIZ-155,51.8,1.58,164,164,51,0.84,1110,25.8,3.5,3,16.04
SOO-207,74.1,1.76,170,135,62,1.24,1214,13.7,2.5,3,13.25
RPM-292,91.1,1.76,197,162,59,1.52,1362,28.8,3.4,3,14.34
SNK-983,52.1,1.73,183,135,74,1.4,1141,23.9,3.1,3,12.32
TKU-002,51.1,1.83,180,130,57,1.05,939,17,3,3,16.85
DFI-393,41.6,1.94,168,153,57,0.86,1068,25,3.1,4,19.74
QAQ-262,100.6,1.74,179,138,68,1.2,1261,23.2,3.5,2,20.9
