Transaction_ID,User_ID,Date,Latitude,Longitude,Amount,Payment_Method,Fraud,Location
975c42bd-d13c-4fe0-9146-ca885db93241,54020920-cfb0-4589-9305-069f221feca3,2025-02-08 17:24:33,-34.71014850747896,-58.22998219702353,2344.39,Debit,0,Argentina
d3d9f859-b20c-42d3-a506-87f76a866e64,8180146c-c9f9-4209-b9ce-0a8b898b93a0,2025-04-20 16:15:45,-12.291468856468638,-77.12790103591952,18722.43,Credit Card,1,Peru
61468db0-18ae-438a-a79b-bb86750859d9,5e50b0fe-5f34-4150-8749-0a479070cd84,2025-01-20 02:15:23,-33.13641985727205,-70.49394924639,1769.73,Debit,0,Chile
517b64f7-7b09-4257-a9a5-cc5ec69dd7e5,47c78059-1bf5-45b9-a431-d7c2969e432d,2025-02-27 21:53:50,4.466443983850387,-74.4997237576944,3978.59,Debit,0,Colombia
48ed4ec9-6646-433a-93f4-ec503d8eb292,b670b8b8-b0d1-4bf4-be87-e72359f5f7f7,2025-02-10 20:44:04,-34.73791023594759,-58.73920976151499,130.41,Debit,0,Argentina
a2301896-9dd3-440a-9814-e3940c61b77e,bfff80c3-3eb8-44a7-bc43-7b860b7e3fc1,2025-03-12 21:02:50,-12.125598561866774,-77.17457079681853,1622.94,Credit Card,0,Peru
0ec2f42f-7c2b-476a-a615-467ab4eddb96,43474c10-faff-4228-b863-81f0d237d238,2025-03-26 23:24:25,-33.346434480948645,-70.20454618148096,2487.57,Credit Card,0,Chile
c06b4c02-80e3-43c6-bb37-1102cff4db22,b7121c71-4c9d-4521-8e30-9706049a7777,2025-01-01 04:17:25,-34.63678466651216,-58.4944454030161,1149.7,Debit,0,Argentina
1f218e36-02e8-4dca-8415-2024811a2345,fbbdea76-4ba8-46e5-ac67-ba204b1b6fc4,2025-04-15 14:30:22,-12.236923142408319,-76.54898488769602,1535.41,Credit Card,0,Peru
3864265f-982e-48a1-8fd2-a53d60ecfe8c,2ac0e559-7474-49e5-9395-49914e828488,2025-04-20 07:34:10,19.383592047961756,-99.33294965822124,3697.04,Credit Card,0,Mexico
366d462b-90a5-406d-b44a-2f92ce14c81f,7d5a5ee6-6811-486b-8adf-17a8d2d42d60,2025-01-27 19:46:21,-11.722532227683546,-76.57451437896611,2047.52,Bank Transfer,0,Peru
b1609c1f-53fc-4ba4-850c-676b291efb2b,e7cf9079-019e-42f3-84fa-10de6b2e2f6b,2025-04-13 21:50:57,4.540387559958197,-74.45530022147838,1127.42,Debit,0,Colombia
ca481976-c80d-4f43-a599-46c074bed83a,c35a6b0a-433a-4dba-8038-db3e3fdfe6b9,2025-03-02 12:06:46,-12.128287161078342,-77.2681333501722,1113.55,Bank Transfer,0,Peru
5b378895-02dd-4ee7-b2ba-5b0f6eabcdc9,96e2f7b2-4d53-4dc3-bad5-bfcf60242297,2025-03-11 06:32:02,-23.735024523108006,-46.201698030612704,4017.61,Bank Transfer,0,Brazil
3bad495b-2619-4922-a1af-fed7bd3778bc,b6aafbf8-7955-4213-8054-24c10b54b410,2025-04-09 04:34:57,-12.195390016323891,-77.26734179684308,569.29,Debit,0,Peru
04f6e5b8-5869-49b5-b9dd-fc87a31b987a,c6788887-611a-4beb-8ab2-9a9b4575eadf,2025-02-01 18:56:17,23.505225499091985,-82.28862639200685,3101.16,Debit,0,Cuba
1df98029-5956-486b-9dba-8aa5928c761e,10215805-697e-48bc-821c-e5c64dd544ec,2025-01-21 15:52:16,-23.666782158435183,-46.696553563726305,3169.97,Credit Card,0,Brazil
9df6d8b4-aace-4166-977d-a38bcc28e372,22e3e677-9331-426d-93c9-913d5d6882b6,2025-03-27 13:19:33,19.33372845599187,-98.81067758711026,2830.74,Cryptocurrency,0,Mexico
e244ef43-e59c-4dcc-b8f8-e221b6e3873a,68600417-f41f-44df-b727-ec3346771b27,2025-04-11 13:22:54,40.79876536138593,-73.79821997390437,73.25,Bank Transfer,0,USA
5e056058-1b87-4237-a4f1-7284e5b27ac6,af23fb46-ecaf-419e-98fa-cc3f52b17474,2025-04-02 05:13:48,-11.747777972216031,-76.61764464644294,2209.38,Debit,0,Peru
032f8224-7779-464a-a7a3-7625fb651d9c,f4fe798e-1138-4e6a-b1b7-82bccc39cc5a,2025-03-27 05:59:51,41.05503024747437,-74.20975614623751,4915.67,Debit,0,USA
8e85acb3-90e6-43a3-9a98-a96f5f79e8f5,29a3ddd2-b98c-4571-ae1b-45a545e96b47,2025-02-19 13:40:10,-23.49002573032905,-46.2137648130619,2957.87,Debit,0,Brazil
68b78488-0849-46e7-9b3a-35339d49a587,29a3ddd2-b98c-4571-ae1b-45a545e96b47,2025-03-31 13:30:41,-34.84484379096274,-58.09588370931675,1267.64,Credit Card,0,Argentina
e627c4f4-c02e-42e0-8643-ec42ba86bb2b,a9f2d68a-2260-4614-a8b3-a1018a74d809,2025-02-11 06:49:39,40.91620203089854,-73.96078032250045,3822.76,Debit,0,USA
934ae036-4a32-4d50-9653-ee52d93d9cb5,14d95940-f1e7-4231-9810-0f6620a231c5,2025-03-07 05:53:02,-11.92748014879944,-77.52278353959773,3165.27,Bank Transfer,0,Peru
